i m 	j ai ans 
you are a good person 	tu es une chouette gonzesse 
you are a good person 	vous etes une chouette gonzesse 
you are a good person 	vous etes un chic type 
you are a good person 	t es un chic type 
you are a good person 	t es une bonne fille 
you are a good person 	vous etes une bonne fille 
you are a good person 	t es une chouette gonzesse 
you are a good person 	t es un mec bien 
you are a mean person 	vous etes quelqu un de mechant 
you are her daughters 	vous etes ses filles 
you are not a student 	tu n es pas un etudiant 
you are seriously ill 	tu es un grand malade 
you are seriously ill 	vous etes un grand malade 
you re all against me 	vous etes tous contre moi 
you re all against me 	vous etes toutes contre moi 
you re always singing 	tu chantes tout le temps 
you re always singing 	vous chantez tout le temps 
you re always singing 	tu es tout le temps en train de chanter 
you re always singing 	vous etes tout le temps en train de chanter 
you re being paranoid 	tu es paranoiaque 
you re being paranoid 	vous etes paranoiaque 
you re being paranoid 	vous etes paranoiaques 
you re doing it right 	tu le fais correctement 
you re doing it right 	vous le faites correctement 
you re doing it right 	tu le fais comme il faut 
you re doing it right 	vous le faites comme il faut 
you re doing it wrong 	tu le fais de travers 
you re getting closer 	tu t approches 
you re getting closer 	vous vous approchez 
you re going to be ok 	vous allez etre sur pieds 
you re going to be ok 	vous allez vous remettre 
you re going to be ok 	tu vas te remettre 
you re going to be ok 	tu vas etre sur pieds 
you re going to laugh 	tu vas rire 
you re going to laugh 	vous allez rire 
you re going too fast 	tu vas trop vite 
you re going too fast 	vous allez trop vite 
you re good with kids 	vous etes bon avec les enfants 
you re in big trouble 	tu as de gros problemes 
you re in big trouble 	vous avez de gros problemes 
you re in big trouble 	tu es dans la merde 
you re in big trouble 	vous etes dans la merde 
you re in danger tom 	tu es en danger tom 
you re in danger tom 	vous etes en danger tom 
you re my best friend 	tu es mon meilleur ami 
you re my kind of gal 	t es mon type de gonzesse 
you re not being fair 	tu n es pas juste 
you re not being fair 	vous n etes pas juste 
you re not helping me 	tu ne m aides pas 
you re not helping me 	vous ne m aidez pas 
you re not safe there 	vous n y etes pas en securite 
you re not safe there 	tu n y es pas en securite 
you re not that crazy 	tu n es pas si folle 
you re not that crazy 	tu n es pas si fou 
you re not that smart 	tu n es pas si malin 
you re not that smart 	tu n es pas si maline 
you re not very funny 	tu n es pas tres amusant 
you re not very funny 	tu n es pas tres amusante 
you re not very funny 	vous n etes pas tres amusant 
you re not very funny 	vous n etes pas tres amusante 
you re not very funny 	vous n etes pas tres amusantes 
you re not very funny 	vous n etes pas tres amusants 
you re out of control 	tu es hors de controle 
you re out of control 	vous etes hors de controle 
you re out of excuses 	tu n as plus d excuses 
you re out of excuses 	vous n avez plus d excuses 
you re over analyzing 	vous analysez trop 
you re over analyzing 	tu analyses trop 
you re probably right 	vous avez probablement raison 
you re probably tired 	tu es probablement fatigue 
you re probably tired 	tu es probablement fatiguee 
you re probably tired 	vous etes probablement fatigue 
you re probably tired 	vous etes probablement fatiguee 
you re probably tired 	vous etes probablement fatigues 
you re probably tired 	vous etes probablement fatiguees 
you re pulling my leg 	tu me fais marcher 
you re pulling my leg 	vous me faites marcher 
you re really awesome 	tu es vraiment genial 
you re really awesome 	tu es vraiment geniale 
you re really awesome 	vous etes vraiment genial 
you re really awesome 	vous etes vraiment geniale 
you re really awesome 	vous etes vraiment geniales 
you re really awesome 	vous etes vraiment geniaux 
you re really selfish 	tu es vraiment egoiste 
you re really selfish 	vous etes vraiment egoiste 
you re really selfish 	vous etes vraiment egoistes 
you re right i think 	je pense que vous avez raison 
you re right i think 	je pense que tu as raison 
you re right i think 	tu as raison je pense 
you re so predictable 	tu es tellement previsible 
you re so predictable 	vous etes tellement previsible 
you re so predictable 	vous etes tellement previsibles 
you re taller than me 	tu es plus grand que moi 
you re taller than me 	tu es plus grande que moi 
you re taller than me 	vous etes plus grand que moi 
you re taller than me 	vous etes plus grande que moi 
you re taller than me 	vous etes plus grands que moi 
you re taller than me 	vous etes plus grandes que moi 
you re too old for me 	tu es trop vieux pour moi 
you re too old for me 	tu es trop vieille pour moi 
you re too old for me 	vous etes trop vieux pour moi 
you re too old for me 	vous etes trop vieille pour moi 
you re too old for me 	vous etes trop vieilles pour moi 
you re turning thirty 	tu entres dans la trentaine 
you re turning thirty 	vous entrez dans la trentaine 
you re very beautiful 	vous etes tres belle 
you re very efficient 	tu es tres efficace 
you re very efficient 	tu es fort efficace 
you re very efficient 	vous etes tres efficace 
you re very efficient 	vous etes tres efficaces 
you re very efficient 	vous etes fort efficace 
you re very efficient 	vous etes fort efficaces 
you re very emotional 	vous etes tres emotives 
you re very emotional 	vous etes fort emotives 
you re very emotional 	vous etes tres emotifs 
you re very emotional 	vous etes tres emotive 
you re very emotional 	vous etes tres emotif 
you re very emotional 	vous etes fort emotive 
you re very emotional 	vous etes fort emotifs 
you re very emotional 	vous etes fort emotif 
you re very emotional 	tu es fort emotive 
you re very emotional 	tu es tres emotive 
you re very emotional 	tu es fort emotif 
you re very emotional 	tu es tres emotif 
you re very fortunate 	tu as vraiment beaucoup de chance 
you re very fortunate 	vous avez vraiment beaucoup de chance 
you re very kind tom 	tu es tres gentil tom 
you re very kind tom 	vous etes tres gentil tom 
you re very observant 	tu es tres observateur 
you re very observant 	tu es tres observatrice 
you re very observant 	vous etes tres observateur 
you re very observant 	vous etes tres observateurs 
you re very observant 	vous etes tres observatrice 
you re very observant 	vous etes tres observatrices 
you re very skeptical 	vous etes tres sceptique 
you re very skeptical 	vous etes fort sceptique 
you re very skeptical 	vous etes tres sceptiques 
you re very skeptical 	vous etes fort sceptiques 
you re very skeptical 	tu es fort sceptique 
you re very skeptical 	tu es tres sceptique 
you re worse than tom 	tu es pire que tom 
you re worse than tom 	vous etes pire que tom 
he is italian by birth 	il est italien de naissance 
he is a capable lawyer 	c est un avocat competent 
he is a complete idiot 	il est completement idiot 
he is a good carpenter 	il est bon charpentier 
he is a lovable person 	c est une personne adorable 
he is a man of ability 	c est un homme habile 
he is a true gentleman 	c est un vrai gentilhomme 
he is a very smart boy 	c est un garcon tres intelligent 
he is afraid of father 	il a peur de pere 
he is afraid of snakes 	il a peur des serpents 
he is an office worker 	c est un employe de bureau 
he is blind in one eye 	il ne voit pas d un il 
he is blind in one eye 	il est borgne 
he is crazy about jazz 	il est dingue de jazz 
he is eager to succeed 	il est motive pour reussir 
he is equal to the job 	il est a la hauteur de la tache 
he is far from perfect 	il est loin d etre parfait 
he is fond of painting 	il adore la peinture 
he is fond of swimming 	il aime la natation 
he is full of ambition 	il est plein d ambition 
he is good for nothing 	il n est bon a rien 
he is good for nothing 	c est un bon a rien 
he is guilty of murder 	il est coupable de meurtre 
he is having lunch now 	il est en train de dejeuner a l heure actuelle 
he is in love with her 	il est amoureux d elle 
he is in need of money 	il a besoin d argent 
he is playing outdoors 	il joue dehors 
he is popular among us 	il est populaire parmi nous 
he is quite an odd man 	c est un homme assez etrange 
he is riding a bicycle 	il fait du velo 
he is riding a bicycle 	il est a velo 
he is speaking english 	il parle anglais 
he is thick as a brick 	il est vraiment lourd 
he is thinking it over 	il est en train d y reflechir 
he is thirty years old 	il a trente ans 
he is tired of reading 	il est fatigue de lire 
he is used to the work 	il est habitue au travail 
he isn t afraid to die 	il ne craint pas de mourir 
he isn t alone anymore 	il n est plus seul 
he s a junior employee 	c est un employe subalterne 
he s a man of his word 	c est un homme de parole 
he s a man of his word 	c est un homme qui tient toujours ses promesses 
he s a talented writer 	c est un ecrivain de talent 
he s a talented writer 	c est un ecrivain talentueux 
he s a weak willed man 	c est un homme de faible volonte 
he s acting on his own 	il agit de son propre chef 
he s addicted to drugs 	il est accroche aux medicaments 
he s afraid of the sea 	il a peur de la mer 
he s ahead in the race 	il est en tete de la course 
he s an asian american 	c est un americain d origine asiatique 
he s as blind as a bat 	il est myope comme une taupe 
he s buying an old hat 	il achete un vieux chapeau 
he s getting cold feet 	il commence a avoir les jetons 
he s getting cold feet 	il commence a avoir les foies 
he s going to sit here 	il va s asseoir ici 
he s here to spy on us 	il est ici pour nous espionner 
he s incredibly stupid 	il est incroyablement idiot 
he s leaning on a cane 	il s appuie sur une canne 
he s likely to be late 	il est probable qu il soit en retard 
he s looking for a job 	il est a la recherche d un emploi 
he s not a team player 	il ne sait pas jouer en equipe 
he s not worthy of you 	il n est pas digne de toi 
he s not worthy of you 	il n est pas digne de vous 
he s not young anymore 	il n est plus tout jeune 
he s open and trusting 	il est ouvert et confiant 
he s out taking a walk 	il est dehors en train de se promener 
he s probably sleeping 	il dort probablement 
he s rich and powerful 	il est riche et puissant 
he s stalling for time 	il gagne du temps 
he s still sick in bed 	il est toujours cloue au lit 
he s stronger than you 	il est plus fort que toi 
he s stronger than you 	il est plus fort que vous 
he s such a sweetheart 	il est tellement adorable 
he s the one isn t he 	c est lui n est ce pas 
he s writing his diary 	il ecrit son journal 
he s young and healthy 	il est jeune et en bonne sante 
i am afraid of heights 	je souffre de vertige 
i am ashamed of myself 	j ai honte de moi meme 
i am brushing my teeth 	je me brosse les dents 
i am doing my homework 	je fais mes devoirs 
i am doing my homework 	je suis en train de faire mes devoirs 
i am eating a sandwich 	je suis en train de manger un sandwich 
i am happy to meet you 	je suis heureux de te voir 
i am leaving next week 	je pars la semaine prochaine 
i am moving next month 	je demenage le mois prochain 
i am moving next month 	je m en vais le mois prochain 
